instance_id,design,quality_class,center_x_mm,center_y_mm,center_z_mm,scale_mm
T20ID10G0_00001,T20ID10,G0,0.0000,0.0000,0.0000,27.9511
T20ID10G0_00002,T20ID10,G0,0.0000,0.0000,0.0000,27.9453
T20ID10G0_00003,T20ID10,G0,0.0000,0.0000,0.0000,27.9553
T20ID10G0_00004,T20ID10,G0,0.0000,0.0000,0.0000,27.9505
T20ID10G0_00005,T20ID10,G0,0.0000,0.0000,0.0000,27.9506
T20ID10G0_00006,T20ID10,G0,0.0000,0.0000,0.0000,27.9488
T20ID10G0_00007,T20ID10,G0,0.0000,0.0000,0.0000,27.9561
T20ID10G0_00008,T20ID10,G0,0.0000,0.0000,0.0000,27.9532
T20ID10G0_00009,T20ID10,G0,0.0000,0.0000,0.0000,27.9495
T20ID10G0_00010,T20ID10,G0,0.0000,0.0000,0.0000,27.9561
T20ID10G0_00011,T20ID10,G0,0.0000,0.0000,0.0000,27.9534
T20ID10G0_00012,T20ID10,G0,0.0000,0.0000,0.0000,27.9577
T20ID10G0_00013,T20ID10,G0,0.0000,0.0000,0.0000,27.9516
T20ID10G0_00014,T20ID10,G0,0.0000,0.0000,0.0000,27.9499
T20ID10G0_00015,T20ID10,G0,0.0000,0.0000,0.0000,27.9440
T20ID10G0_00016,T20ID10,G0,0.0000,0.0000,0.0000,27.9542
T20ID10G0_00017,T20ID10,G0,0.0000,0.0000,0.0000,27.9545
T20ID10G0_00018,T20ID10,G0,0.0000,0.0000,0.0000,27.9471
T20ID10G0_00019,T20ID10,G0,0.0000,0.0000,0.0000,27.9496
T20ID10G0_00020,T20ID10,G0,0.0000,0.0000,0.0000,27.9483
T20ID10G0_00021,T20ID10,G0,0.0000,0.0000,0.0000,27.9504
T20ID10G0_00022,T20ID10,G0,0.0000,0.0000,0.0000,27.9539
T20ID10G0_00023,T20ID10,G0,0.0000,0.0000,0.0000,27.9586
T20ID10G0_00024,T20ID10,G0,0.0000,0.0000,0.0000,27.9566
T20ID10G0_00025,T20ID10,G0,0.0000,0.0000,0.0000,27.9482
T20ID10G0_00026,T20ID10,G0,0.0000,0.0000,0.0000,27.9506
T20ID10G0_00027,T20ID10,G0,0.0000,0.0000,0.0000,27.9497
T20ID10G0_00028,T20ID10,G0,0.0000,0.0000,0.0000,27.9461
T20ID10G0_00029,T20ID10,G0,0.0000,0.0000,0.0000,27.9469
T20ID10G0_00030,T20ID10,G0,0.0000,0.0000,0.0000,27.9497
T20ID10G0_00031,T20ID10,G0,0.0000,0.0000,0.0000,27.9542
T20ID10G0_00032,T20ID10,G0,0.0000,0.0000,0.0000,27.9499
T20ID10G0_00033,T20ID10,G0,0.0000,0.0000,0.0000,27.9497
T20ID10G0_00034,T20ID10,G0,0.0000,0.0000,0.0000,27.9505
T20ID10G0_00035,T20ID10,G0,0.0000,0.0000,0.0000,27.9544
T20ID10G0_00036,T20ID10,G0,0.0000,0.0000,0.0000,27.9472
T20ID10G0_00037,T20ID10,G0,0.0000,0.0000,0.0000,27.9513
T20ID10G0_00038,T20ID10,G0,0.0000,0.0000,0.0000,27.9485
T20ID10G0_00039,T20ID10,G0,0.0000,0.0000,0.0000,27.9497
T20ID10G0_00040,T20ID10,G0,0.0000,0.0000,0.0000,27.9456
T20ID10G0_00041,T20ID10,G0,0.0000,0.0000,0.0000,27.9502
T20ID10G0_00042,T20ID10,G0,0.0000,0.0000,0.0000,27.9537
T20ID10G0_00043,T20ID10,G0,0.0000,0.0000,0.0000,27.9500
T20ID10G0_00044,T20ID10,G0,0.0000,0.0000,0.0000,27.9548
T20ID10G0_00045,T20ID10,G0,0.0000,0.0000,0.0000,27.9543
T20ID10G0_00046,T20ID10,G0,0.0000,0.0000,0.0000,27.9468
